animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A653662,,OTHER,GRAY,,Unknown,,2021-02-03,ILL SEVERE,WILDLIFE,FIELD,,2021-02-03,"00 BLK E 60TH PL, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7488887,-118.1239767,Alive on Intake,TRUE,0,"{'lon': -118.1239767, 'lat': 33.7488887}"
A721309,*TONA,CAT,GRAY TABBY,,Spayed,2024-03-20,2024-05-22,NORMAL,OWNER SURRENDER,OTC,COST,2024-06-20,00 BLK E 68TH WAY LONG BEACH CA 90805,LONG BEACH,ADOPTION,PFE/PAWSHP,33.8784962,-118.2039496,Alive on Intake,FALSE,1,"{'lon': -118.2039496, 'lat': 33.8784962}"
A721308,*ONA,CAT,BLACK,WHITE,Spayed,2024-03-20,2024-05-22,NORMAL,OWNER SURRENDER,OTC,COST,2024-06-01,00 BLK E 68TH WAY LONG BEACH CA 90805,LONG BEACH,ADOPTION,WEB,33.8784962,-118.2039496,Alive on Intake,FALSE,1,"{'lon': -118.2039496, 'lat': 33.8784962}"
A597463,,CAT,GRAY,,Unknown,2017-08-21,2017-09-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,FALSE,1,"{'lon': -118.20443, 'lat': 33.8801147}"
A597466,,CAT,GRAY TABBY,,Unknown,2017-08-21,2017-09-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8801147,-118.20443,Alive on Intake,FALSE,1,"{'lon': -118.20443, 'lat': 33.8801147}"
A739630,,CAT,BLACK,,Male,2025-03-23,2025-04-19,ILL MILD,STRAY,OTC,,2025-04-21,"00 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A735847,*ELENA,CAT,TORTIE DIL,,Spayed,2023-01-22,2025-01-22,NORMAL,STRAY,OTC,,2025-03-03,"00 BLK LIME AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,OTHER RESC,33.7662974,-118.1836035,Alive on Intake,FALSE,1,"{'lon': -118.1836035, 'lat': 33.7662974}"
A619621,,BIRD,BROWN,RED,Male,2018-01-01,2019-01-01,NORMAL,WILDLIFE,FIELD,,2019-01-02,"00 BLK W 52ND ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,WARDSMTN,33.8504599,-118.1952821,Alive on Intake,FALSE,1,"{'lon': -118.1952821, 'lat': 33.8504599}"
A738980,,CAT,ORG TABBY,,Male,2025-02-17,2025-04-04,UNDER AGE/WEIGHT,STRAY,OTC,,2025-04-06,"00 BLK W 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8524273,-118.1959944,Alive on Intake,FALSE,1,"{'lon': -118.1959944, 'lat': 33.8524273}"
A665831,,WILD,BROWN,BLACK,Unknown,,2021-10-27,INJURED  MILD,WILDLIFE,FIELD,,2021-10-27,"00 BLK W ARBOR ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8439372,-118.1930131,Alive on Intake,TRUE,0,"{'lon': -118.1930131, 'lat': 33.8439372}"
A739787,,OTHER,BLACK,,Female,2024-04-23,2025-04-23,ILL MILD,WILDLIFE,OTC,,2025-04-23,"00 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8705366,-118.2017126,Alive on Intake,TRUE,0,"{'lon': -118.2017126, 'lat': 33.8705366}"
A738355,WOLVERINE,CAT,FLAME PT,WHITE,Neutered,2024-09-21,2025-04-05,NORMAL,RETURN,,INJURED,2025-04-09,"00 BLOCK BAYSHORE AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.753886,-118.1329501,Alive on Intake,FALSE,1,"{'lon': -118.1329501, 'lat': 33.753886}"
A702741,BIG BOY,DOG,TAN,,Neutered,2018-07-12,2023-07-12,I/I REPORT,OWNER SURRENDER,OTC,NO HOME,2023-07-16,"00 BLOCK BENNETT AVE, LONG BEACH CA",LONG BEACH,RESCUE,,33.758536,-118.1443059,Alive on Intake,FALSE,1,"{'lon': -118.1443059, 'lat': 33.758536}"
A706436,*PHANTOM,CAT,BRN TABBY,,Female,2023-08-04,2023-09-07,NORMAL,STRAY,OTC,,2023-10-23,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,RESCUE,LITTLELION,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A706438,*CRICKET,CAT,BLACK,,Male,2023-08-04,2023-09-07,NORMAL,STRAY,OTC,,2023-10-08,"00 BLOCK E MARKET ST, LONG BEACH CA",LONG BEACH,ADOPTION,,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A725943,*CHUBBS,DOG,BROWN,WHITE,Neutered,2022-07-31,2024-07-31,I/I REPORT,STRAY,OTC,,2024-08-23,"00 BLOCK JUNIPERO AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.7636345,-118.1667556,Alive on Intake,FALSE,1,"{'lon': -118.1667556, 'lat': 33.7636345}"
A608402,,WILD,GRAY,,Female,,2018-05-26,ILL MILD,WILDLIFE,FIELD,,2018-05-26,"00 BLOCK LAGUNA PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7506254,-118.127669,Alive on Intake,FALSE,1,"{'lon': -118.127669, 'lat': 33.7506254}"
A694730,JACKO,DOG,BLACK,BROWN,Male,2022-09-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,FALSE,1,"{'lon': -118.1936055, 'lat': 33.846061}"
A694727,SPOTS,DOG,TRICOLOR,,Male,2021-09-16,2023-03-16,NORMAL,OWNER SURRENDER,FIELD,,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",LONG BEACH,TRANSFER,SPCALA,33.846061,-118.1936055,Alive on Intake,FALSE,1,"{'lon': -118.1936055, 'lat': 33.846061}"
A704556,MIA,CAT,BRN TABBY,,Spayed,2023-06-10,2023-08-10,ILL SEVERE,STRAY,OTC,,2023-08-23,"00 BLOCK W SCOTT ST, LONG BEACH CA",LONG BEACH,ADOPTION,,33.8692044,-118.2014596,Alive on Intake,FALSE,1,"{'lon': -118.2014596, 'lat': 33.8692044}"
A724000,JUNO,DOG,TAN,WHITE,Female,2016-07-06,2024-07-06,NORMAL,STRAY,OTC,,2024-07-06,00 GRANADA AVE LONG BEACH CA 90803,LONG BEACH,RETURN TO OWNER,FRE RID HM,33.7561797,-118.1387634,Alive on Intake,FALSE,1,"{'lon': -118.1387634, 'lat': 33.7561797}"
A613538,,BIRD,GRAY,WHITE,Unknown,,2018-08-24,INJURED  SEVERE,WILDLIFE,FIELD,,2018-08-24,"1 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,RESCUE,IBR,33.760205,-118.1477682,Alive on Intake,FALSE,1,"{'lon': -118.1477682, 'lat': 33.760205}"
A622921,,OTHER,GRAY,,Unknown,,2019-03-09,ILL SEVERE,WILDLIFE,FIELD,,2019-03-09,"1 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,RESCUE,MMR,33.760205,-118.1477682,Alive on Intake,FALSE,1,"{'lon': -118.1477682, 'lat': 33.760205}"
A607259,,WILD,GRAY,,Unknown,,2018-05-06,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-05-06,"1 BLK BELMONT AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.759484,-118.1453675,Alive on Intake,TRUE,0,"{'lon': -118.1453675, 'lat': 33.759484}"
A596337,,CAT,WHITE,BROWN,Female,2017-08-01,2017-09-01,NORMAL,STRAY,FIELD,,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"{'lon': -118.1948981, 'lat': 33.7670803}"
A596332,,CAT,BRN TABBY,,Female,2014-09-01,2017-09-01,NORMAL,STRAY,FIELD,,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"{'lon': -118.1948981, 'lat': 33.7670803}"
A596335,,CAT,BLACK,,Female,2017-08-01,2017-09-01,NORMAL,STRAY,FIELD,,2017-09-07,"1 BLK CEDAR WALK, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,FALSE,1,"{'lon': -118.1948981, 'lat': 33.7670803}"
A607495,SPARKY LOVE,DOG,BROWN,TAN,Neutered,2016-05-11,2019-06-09,NORMAL,STRAY,FIELD,,2019-06-28,"1 BLK W 49TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,33.8448381,-118.1942559,Alive on Intake,FALSE,1,"{'lon': -118.1942559, 'lat': 33.8448381}"
A602314,,CAT,BRN TABBY,WHITE,Unknown,2015-01-12,2018-01-12,INJURED  MODERATE,STRAY,FIELD,,2018-01-12,"1 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8467318,-118.1939192,Alive on Intake,TRUE,0,"{'lon': -118.1939192, 'lat': 33.8467318}"
A660438,,WILD,GRAY,BLACK,Unknown,2021-05-14,2021-07-14,ILL MODERATETE,WILDLIFE,FIELD,,2021-07-14,"1 GOLDEN SHR, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,ILL SEVERE,33.76693590000001,-118.2023583,Alive on Intake,TRUE,0,"{'lon': -118.2023583, 'lat': 33.76693590000001}"
A736684,,BIRD,GRAY,,Unknown,2024-02-12,2025-02-12,INJURED  SEVERE,WILDLIFE,FIELD,,2025-02-12,1 JUNIPERO AVE LONG BEACH CA 90803,LONG BEACH,TRANSFER,,33.764574,-118.1666584,Alive on Intake,FALSE,1,"{'lon': -118.1666584, 'lat': 33.764574}"
A738520,,BIRD,BROWN,WHITE,Unknown,2024-03-25,2025-03-25,ILL MILD,WILDLIFE,FIELD,,2025-03-26,"10 39TH PL, LB CA 90803",LONG BEACH,TRANSFER,OTHER RESC,33.7600912,-118.1478102,Alive on Intake,FALSE,1,"{'lon': -118.1478102, 'lat': 33.7600912}"
A612662,,BIRD,BROWN,WHITE,Unknown,2017-08-10,2018-08-10,ILL SEVERE,WILDLIFE,FIELD,,2018-08-10,"10 BAY SHORE AVE, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7539754,-118.1327124,Alive on Intake,FALSE,1,"{'lon': -118.1327124, 'lat': 33.7539754}"
A680051,,BIRD,GRAY,WHITE,Unknown,2021-07-16,2022-07-16,INJURED  MODERATE,WILDLIFE,FIELD,,2022-07-17,"10 BLK 1ST ST, SEAL BEACH, CA 90740",SEAL BEACH,RESCUE,,33.7430451,-118.1135385,Alive on Intake,FALSE,1,"{'lon': -118.1135385, 'lat': 33.7430451}"
A620802,,BIRD,BROWN,WHITE,Unknown,,2019-01-24,INJURED  MODERATE,WILDLIFE,FIELD,,2019-01-24,"10 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.76009,-118.1478074,Alive on Intake,FALSE,1,"{'lon': -118.1478074, 'lat': 33.76009}"
A671402,OL' BLUE EYES,BIRD,WHITE,YELLOW,Unknown,2021-03-06,2022-03-06,INJURED  SEVERE,WILDLIFE,FIELD,,2022-03-06,"10 BLK 39TH PL, LONG BEACH, CA 90803",LONG BEACH,DIED,ENROUTE,33.76009,-118.1478074,Alive on Intake,TRUE,0,"{'lon': -118.1478074, 'lat': 33.76009}"
A639953,,BIRD,BROWN,,Unknown,,2020-02-13,INJURED  MODERATE,WILDLIFE,FIELD,,2020-02-13,"10 BLK 64TH PL, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7473658,-118.1218845,Alive on Intake,FALSE,1,"{'lon': -118.1218845, 'lat': 33.7473658}"
A727241,,CAT,BRN TABBY,WHITE,Male,2024-08-03,2024-08-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2024-08-21,"10 BLK ALAMITOS AVE, LB 90802",LONG BEACH,RESCUE,LITTLELION,33.7669739,-118.1827684,Alive on Intake,FALSE,1,"{'lon': -118.1827684, 'lat': 33.7669739}"
A695577,RASCAL,DOG,BROWN,WHITE,Male,2019-04-17,2023-03-26,NORMAL,STRAY,FIELD,,2023-03-29,"10 BLK E 69TH ST, LB 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.8793054,-118.2040567,Alive on Intake,FALSE,1,"{'lon': -118.2040567, 'lat': 33.8793054}"
A661312,*BOWIE,DOG,BLACK,BROWN,Neutered,2020-03-05,2021-08-05,NORMAL,STRAY,OTC,,2022-08-12,"10 BLK E 69TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8793054,-118.2040567,Alive on Intake,FALSE,1,"{'lon': -118.2040567, 'lat': 33.8793054}"
A618316,,CAT,BRN TABBY,WHITE,Female,2018-08-02,2018-12-02,NORMAL,STRAY,FIELD,,2018-12-05,"10 BLK E 69TH WAY, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8800031,-118.2042948,Alive on Intake,FALSE,1,"{'lon': -118.2042948, 'lat': 33.8800031}"
A712369,,BIRD,BROWN,BLACK,Unknown,,2023-12-27,INJURED  SEVERE,WILDLIFE,FIELD,,2023-12-27,"10 BLK E ELLIS, LB 90805",LONG BEACH,TRANSFER,LBAH,33.8565163,-118.197279,Alive on Intake,FALSE,1,"{'lon': -118.197279, 'lat': 33.8565163}"
A686896,*BAGHEERA,CAT,BLACK,,Male,2021-10-14,2022-10-14,INJURED  MODERATE,STRAY,OTC,,2022-12-10,"10 BLK E. PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,,33.8532911,-118.1959712,Alive on Intake,FALSE,1,"{'lon': -118.1959712, 'lat': 33.8532911}"
A675407,MEOWSIE,CAT,BLACK,WHITE,Neutered,2018-05-21,2022-05-21,NORMAL,WELFARE SEIZED,HOSPITAL,,2022-05-28,"10 BLK GLENDORA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,WALKIN,33.7551754,-118.1352735,Alive on Intake,FALSE,1,"{'lon': -118.1352735, 'lat': 33.7551754}"
A645458,,OTHER,GRAY,,Unknown,2019-11-13,2020-07-13,INJURED  SEVERE,WILDLIFE,FIELD,,2020-07-13,"10 BLK LA LINDA DR, LONG BEACH, CA 90807",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8274262,-118.1899585,Alive on Intake,TRUE,0,"{'lon': -118.1899585, 'lat': 33.8274262}"
A666677,,OTHER,BLACK,GRAY,Unknown,,2021-11-11,ILL SEVERE,WILDLIFE,FIELD,,2021-11-11,"10 BLK LA LINDA DR, LONG BEACH, CA 90807",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8274262,-118.1899585,Alive on Intake,TRUE,0,"{'lon': -118.1899585, 'lat': 33.8274262}"
A688296,*STITCH,CAT,GRAY,,Female,2022-10-09,2022-11-09,INJURED  SEVERE,STRAY,FIELD,,2022-11-10,"10 BLK W 47TH ST, LB 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.84284030000001,-118.1931187,Alive on Intake,TRUE,0,"{'lon': -118.1931187, 'lat': 33.84284030000001}"
A732443,,CAT,WHITE,ORG TABBY,Male,2022-11-13,2024-11-13,INJURED  SEVERE,STRAY,FIELD,,2024-11-14,"10 BLK W ARBOR, LB 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,33.8439359,-118.1933641,Alive on Intake,TRUE,0,"{'lon': -118.1933641, 'lat': 33.8439359}"
A672990,,CAT,BRN TABBY,,Female,2022-04-04,2022-04-11,INJURED  SEVERE,STRAY,FIELD,,2022-04-13,"10 BLK W BORT ST, LONG BEACH, CA 90805",LONG BEACH,DIED,IN KENNEL,33.8703458,-118.2020155,Alive on Intake,TRUE,0,"{'lon': -118.2020155, 'lat': 33.8703458}"
A615048,,CAT,BLACK,WHITE,Unknown,2015-09-21,2018-09-21,ILL SEVERE,STRAY,FIELD,,2018-09-22,"10 BLK W MOUNTAIN VIEW ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,AT VET,33.8515302,-118.1962352,Alive on Intake,TRUE,0,"{'lon': -118.1962352, 'lat': 33.8515302}"
A607390,*MAI TAI,CAT,SEAL PT,,Spayed,2016-05-10,2018-07-18,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2018-12-13,"10 BLK WOODPINE DR, IRVINE, CA 92604",IRVINE,ADOPTION,PFE/PAWSHP,33.6861428,-117.8047419,Alive on Intake,FALSE,1,"{'lon': -117.8047419, 'lat': 33.6861428}"
A602462,,REPTILE,GREEN,,Unknown,2017-12-14,2018-01-14,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-01-20,"10 CLAREMONT AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,,33.7544477,-118.133292,Alive on Intake,FALSE,1,"{'lon': -118.133292, 'lat': 33.7544477}"
A641212,WEDA,DOG,BLONDE,,Female,2019-03-19,2020-03-19,INJURED  SEVERE,STRAY,FIELD,,2020-03-19,"10 E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.85428479999999,-118.1962299,Alive on Intake,FALSE,1,"{'lon': -118.1962299, 'lat': 33.85428479999999}"
A711461,*BEAU,CAT,GRAY TABBY,,Male,2020-12-04,2023-12-04,ILL MILD,STRAY,FIELD,,2023-12-05,"10 GRANADA AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,33.756527,-118.1384114,Alive on Intake,TRUE,0,"{'lon': -118.1384114, 'lat': 33.756527}"
A623754,,BIRD,BLACK,WHITE,Unknown,2018-03-24,2019-03-24,ILL MILD,WILDLIFE,FIELD,,2019-03-25,"100 AQUARIUM WAY, LONG BEACH, CA 90802",LONG BEACH,DIED,IN KENNEL,33.7621679,-118.196966,Alive on Intake,TRUE,0,"{'lon': -118.196966, 'lat': 33.7621679}"
A659812,DRACO,DOG,GRAY,WHITE,Neutered,2018-01-03,2021-07-03,NORMAL,OWNER SURRENDER,OTC,MOVE,2022-01-15,"100 BLCK E. 57TH ST, LONG BEACH CA 90805",LONG BEACH,ADOPTION,WEB,33.8581828,-118.1953974,Alive on Intake,FALSE,1,"{'lon': -118.1953974, 'lat': 33.8581828}"
A595334,CLARA BELL,CAT,WHITE,BRN TABBY,Female,2015-08-14,2017-08-14,NORMAL,STRAY,FIELD,,2017-08-14,"100 BLK 14TH ST, SEAL BEACH, CA 90740",SEAL BEACH,RETURN TO OWNER,,33.7376411,-118.1015354,Alive on Intake,FALSE,1,"{'lon': -118.1015354, 'lat': 33.7376411}"
A698112,AUBREY,CAT,CALICO TAB,,Spayed,2021-05-03,2023-05-03,NORMAL,STRAY,OTC,,2023-05-14,100 BLK 16TH ST LB 90813,LONG BEACH,ADOPTION,WEB,33.7871311,-118.1923855,Alive on Intake,FALSE,1,"{'lon': -118.1923855, 'lat': 33.7871311}"
A712051,GIA,DOG,BLACK,TAN,Female,2014-12-18,2023-12-18,AGED,WELFARE SEIZED,POLICE,,2023-12-23,"100 BLK ALAMITOS AVE, LONG BEACH, CA",LONG BEACH,RETURN TO OWNER,WALKIN,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A656069,*PRESLEY,DOG,BROWN,,Spayed,2020-06-09,2021-04-10,NORMAL,OWNER SURRENDER,OTC,HYPER,2021-04-22,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602050,,REPTILE,GREEN,BLUE,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602045,,REPTILE,GRAY,,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602051,,REPTILE,YELLOW,BROWN,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602029,,OTHER,BLUE,RED,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602031,,OTHER,GOLD,,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,DIED,IN KENNEL,33.7677623,-118.1825071,Alive on Intake,TRUE,0,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602021,,REPTILE,YELLOW,BLACK,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602035,,REPTILE,BROWN,BLACK,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602046,,REPTILE,GRAY,,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A602049,,REPTILE,RED,BLUE,Unknown,,2018-01-09,NORMAL,SAFE KEEP,OWNER DIED,,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,OTHER RESC,33.7677623,-118.1825071,Alive on Intake,FALSE,1,"{'lon': -118.1825071, 'lat': 33.7677623}"
A737895,,BIRD,BROWN,WHITE,Unknown,,2025-03-07,ILL MILD,WILDLIFE,FIELD,,2025-03-07,100 BLK AQUARIUM WAY LONG BEACH CA 90802,LONG BEACH,TRANSPORT,OTHER RESC,33.7622585,-118.1966005,Alive on Intake,FALSE,1,"{'lon': -118.1966005, 'lat': 33.7622585}"
A682796,,BIRD,BLACK,,Unknown,,2022-08-31,INJURED  MILD,WILDLIFE,FIELD,,2022-08-31,"100 BLK AQUARIUM WAY, LB 90802",LONG BEACH,TRANSFER,LBAH,33.7621679,-118.196966,Alive on Intake,FALSE,1,"{'lon': -118.196966, 'lat': 33.7621679}"
